SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
KEYFINSERV,EQ,265.65,268.8,258.05,260.45,262.8,262.7,1621,424648.10,03-Sep-2025,117,INE681C01015
RUSTOMJEE,EQ,618,627.95,608.05,611.5,611,618.35,11087,6828464.45,03-Sep-2025,1426,INE263M01029
KFINTECH,EQ,1058,1074.1,1055.9,1067,1068.7,1057,420037,447562089.80,03-Sep-2025,23478,INE138Y01010
KHADIM,EQ,235.9,239.49,234.1,237.58,236.55,232.49,10526,2488523.50,03-Sep-2025,780,INE834I01025
KHAITANLTD,BE,107.67,109,106,108.85,106.35,107.67,1601,173398.52,03-Sep-2025,30,INE731C01018
KHAICHEM,EQ,121.5,127.7,120.93,125.34,126,121.59,615945,77226748.89,03-Sep-2025,5543,INE745B01028
KHANDSE,EQ,24.19,24.19,23.71,23.83,24.07,24.08,1227,29364.37,03-Sep-2025,27,INE060B01014
KHFM,SM,77.25,78.8,75.6,77.2,78.8,86.7,10850,837232.50,03-Sep-2025,7,INE00UG01014
KILITCH,BE,356.95,356.95,350,356.35,355,352,6633,2344538.60,03-Sep-2025,127,INE729D01010
KINGFA,EQ,4377.4,4445,4365,4379.7,4374,4377.4,5935,26162720.20,03-Sep-2025,2102,INE473D01015
KIOCL,EQ,420,465.5,419.85,437.35,434,422.4,8373731,3794152201.10,03-Sep-2025,162349,INE880L01014
KIRIINDUS,EQ,527.55,538.15,527.55,533.45,533,525.45,176833,94328676.30,03-Sep-2025,6332,INE415I01015
KIRLOSBROS,EQ,2008,2053,1990.4,2040.8,2049,2008,64349,130965248.80,03-Sep-2025,8336,INE732A01036
KECL,EQ,117.8,119.7,115.63,117.75,118.5,116.86,133965,15780925.87,03-Sep-2025,2583,INE134B01017
KIRLOSIND,EQ,3801.3,3871.3,3771.1,3847.4,3860,3786.2,4224,16182580.40,03-Sep-2025,1111,INE250A01039
KIRLOSENG,EQ,910,911.85,870.95,893.5,895,916.4,713647,636651643.65,03-Sep-2025,46332,INE146L01010
KIRLPNU,EQ,1278,1306.3,1267,1300.6,1299.5,1285.6,54935,70733547.00,03-Sep-2025,9085,INE811A01020
KITEX,EQ,197,197,188,189.01,188.87,196.22,998363,190384885.27,03-Sep-2025,12665,INE602G01020
KNAGRI,SM,218,218,211.25,211.85,212,216.9,14400,3066540.00,03-Sep-2025,34,INE0KNW01016
